unique_id,unique_id_user,reference,regionname1,regionname2,lat,lon,rsl,rsl_er_max,rsl_er_min,age,age_er_max,age_er_min,primary_indicator,secondary_indicator,type_category,type,database,database2,notes
gsl_lgm_5709,aa24221,shennan_et_al_2000_jqs_(as_in_shennan_et_al._2018),3,ne_england_(south),55.34,-1.6,-4.69,0.21,0.21,8745,235,152,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5710,srr1600,robinson_1993_smith_et_al_2010_(as_in_shennan_et_al._2018),3,forth_valley,56.07,-3.82,6.12,0.51,0.51,8748,231,151,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5712,suerc42709,lawrence_et_al_2016_qsr_(as_in_shennan_et_al._2018),3,n_solway_firth,54.93,-4.4,-0.66,0.98,0.98,8770,207,130,sedimentary_indicator,uniquely_defined,,0,holsea,shennan18,
gsl_lgm_5713,srr3692,smith_et_al_1992_(as_in_shennan_et_al._2018),3,dornoch_firth,57.87,-4.26,0.55,0.21,0.21,8780,204,171,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5714,srr1745,robinson_1993_smith_et_al_2010_(as_in_shennan_et_al._2018),3,forth_valley,56.14,-4.23,3.76,0.51,0.51,8782,203,174,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5715,gra53517,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.23,-3.18,-19.3,0.21,0.21,8794,186,154,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5717,beta97501,tooley_et_al_2004_qra_guide_(as_in_shennan_et_al._2018),3,lancashire,53.57,-3.02,-9.79,0.21,0.21,8818,210,254,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5718,ub3903,lloyd_et_al_1999_(as_in_shennan_et_al._2018),3,n_solway_firth,54.98,-3.09,-3.24,0.8,0.8,8821,177,190,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5719,beta288892,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.22,-3.17,-19.39,0.5,0.5,8822,160,175,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5720,beta83735,selby_&_smith_2007_jqs_(as_in_shennan_et_al._2018),3,skye,57.32,-6.11,1.82,0.6,0.6,8839,174,209,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5724,hv3362,tooley_1974_1978_(as_in_shennan_et_al._2018),3,morecambe_bay,54.14,-3.04,-15.71,0.82,0.82,8850,221,249,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5725,srr1601,robinson_1993_smith_et_al_2010_(as_in_shennan_et_al._2018),3,forth_valley,56.06,-3.82,4.21,0.51,0.51,8851,149,202,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5726,cams72401,gehrels_&_anderson_2014_(as_in_shennan_et_al._2018),3,sw_england_(devon),50.28,-3.65,-17.31,0.29,0.29,8851,149,202,sedimentary_indicator,uniquely_defined,,0,holsea,shennan18,
gsl_lgm_5727,beta119267,dawson_et_al_2001_sjg_(as_in_shennan_et_al._2018),3,coll,56.69,-6.47,-1.56,0.27,0.27,8855,221,251,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5728,gra53625,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.22,-3.17,-19.31,0.21,0.21,8860,138,205,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5729,beta288885,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.22,-3.17,-18.37,0.5,0.5,8860,138,205,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5730,aa27192,plater_et_al_2000_(as_in_shennan_et_al._2018),3,tees,54.62,-1.16,-15.46,0.21,0.21,8870,218,239,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5731,suerc44385,lawrence_et_al_2016_qsr_(as_in_shennan_et_al._2018),3,n_solway_firth,54.93,-4.4,-0.66,0.98,0.98,8871,122,146,sedimentary_indicator,uniquely_defined,,0,holsea,shennan18,
gsl_lgm_5732,suerc44369,lawrence_et_al_2016_qsr_(as_in_shennan_et_al._2018),3,n_solway_firth,54.93,-4.4,-0.66,0.98,0.98,8873,121,148,sedimentary_indicator,uniquely_defined,,0,holsea,shennan18,
gsl_lgm_5733,suerc42708,lawrence_et_al_2016_qsr_(as_in_shennan_et_al._2018),3,n_solway_firth,54.93,-4.4,-0.71,0.98,0.98,8874,121,149,sedimentary_indicator,uniquely_defined,,0,holsea,shennan18,
gsl_lgm_5734,igs149,jardine_1982_(as_in_shennan_et_al._2018),3,ayr,55.55,-4.64,5.36,0.21,0.21,8876,382,291,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5736,gra53518,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.23,-3.18,-19.3,0.21,0.21,8893,128,164,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5737,gra53519,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.22,-3.17,-18.15,0.21,0.21,8908,164,184,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5738,beta199784,lloyd_et_al_2013_(as_in_shennan_et_al._2018),3,cumbria,54.36,-3.41,-2.75,0.26,0.26,8926,164,201,sedimentary_indicator,uniquely_defined,,0,holsea,shennan18,
gsl_lgm_5739,srr381,jardine_1982_(as_in_shennan_et_al._2018),3,ayr,55.6,-4.64,3.18,0.26,0.26,8978,267,320,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5742,suerc2510,roberts_et_al_2011_jqs_(as_in_shennan_et_al._2018),3,n_wales,53.24,-4.12,-9.23,0.51,0.51,9016,113,236,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5743,srr4713,smith_et_al_1999_trsed_(as_in_shennan_et_al._2018),3,aberdeen,57.34,-2.01,-5.5,0.31,0.31,9030,216,251,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5747,gra53628,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.22,-3.17,-19.53,0.5,0.5,9060,192,78,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5748,srr1602,robinson_1993_smith_et_al_2010_(as_in_shennan_et_al._2018),3,forth_valley,56.06,-3.82,4.96,0.51,0.51,9062,198,255,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5749,aa28100,shennan_et_al_1996_geolsoc_111_(as_in_shennan_et_al._2018),3,nw_scotland_(arisaig),56.93,-5.84,5.37,0.4,0.4,9063,225,291,isolation_basin,uniquely_defined,,0,holsea,shennan18,
gsl_lgm_5750,beta289591,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.23,-3.17,-19.23,0.5,0.5,9069,176,73,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5751,srr4710,smith_et_al_1999_trsed_(as_in_shennan_et_al._2018),3,aberdeen,57.34,-2.01,-7.5,0.31,0.31,9081,171,83,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5752,beta288884,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.22,-3.17,-18.15,0.21,0.21,9084,171,87,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5753,suerc2509,roberts_et_al_2011_jqs_(as_in_shennan_et_al._2018),3,n_wales,53.24,-4.12,-8.98,0.23,0.23,9085,165,77,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5754,aa22662,shennan_et_al_2000_geol_soc_166_166_(as_in_shennan_et_al._2018),3,dogger_bank,55.02,2.98,-33.26,0.21,0.21,9088,179,95,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5755,gra53746,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.22,-3.17,-19.31,0.21,0.21,9090,164,85,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5756,srr66,jardine_1982_(as_in_shennan_et_al._2018),3,tay_valley,56.41,-3.15,-1.55,0.3,0.3,9094,162,90,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5759,srr69,jardine_1982_(as_in_shennan_et_al._2018),3,tay_valley,56.45,-3.09,-3.41,0.3,0.3,9128,268,134,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5762,hv7095,ludwig_et_al_1981_(as_in_shennan_et_al._2018),3,german_bight,54.94,5.75,-39.8,1.66,1.66,9152,327,428,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5763,beta96326,smith_et_al_2002_trse_(as_in_shennan_et_al._2018),3,n_solway_firth,54.94,-4.42,-4.73,0.21,0.21,9162,244,166,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5764,q2379,carter_et_al_1989_(as_in_shennan_et_al._2018),3,east_cork,51.82,-8.3,-17.19,0.22,0.22,9172,231,166,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5765,beta289589,griffiths_et_al_2015_(as_in_shennan_et_al._2018),3,bristol_channel,51.21,-3.15,-17.09,0.5,0.5,9186,116,158,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5766,suerc2512,roberts_et_al_2011_jqs_(as_in_shennan_et_al._2018),3,n_wales,53.24,-4.12,-10.44,0.51,0.51,9194,200,163,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5771,i1838,sissons_&_brooks_1971_(as_in_shennan_et_al._2018),3,forth_valley,56.14,-4.21,4.1,0.21,0.21,9232,309,458,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5772,beta96327,smith_et_al_2002_trse_(as_in_shennan_et_al._2018),3,n_solway_firth,54.94,-4.42,-5.15,0.21,0.21,9301,188,269,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5773,srr4706,smith_et_al_1999_trsed_(as_in_shennan_et_al._2018),3,aberdeen,57.34,-2.01,-9.48,0.31,0.31,9303,125,168,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5774,hv3462,tooley_1974_1978_(as_in_shennan_et_al._2018),3,morecambe_bay,54.09,-2.84,-20.63,1.44,1.44,9309,218,280,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5775,i4403,heyworth_&_kidson_1982_(as_in_shennan_et_al._2018),3,bristol_channel,51.22,-2.96,-27.07,0.82,0.82,9330,228,329,sedimentary_indicator,freshwater_to_high_marsh_transition,,0,holsea,shennan18,
gsl_lgm_5776,srr4864,shennan_et_al_1994_(as_in_shennan_et_al._2018),3,nw_scotland_(arisaig),56.9,-5.84,5.09,0.41,0.41,9335,115,196,isolation_basin,uniquely_defined,,0,holsea,shennan18,
gsl_lgm_5777,srr67,jardine_1982_(as_in_shennan_et_al._2018),3,tay_valley,56.41,-3.15,-1.95,0.3,0.3,9338,129,201,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5782,aa23871,shennan_et_al_2000_qsr_(as_in_shennan_et_al._2018),3,nw_scotland_(kintail),57.23,-5.41,2.89,1.0,1.0,9373,154,235,isolation_basin,uniquely_defined,,0,holsea,shennan18,
gsl_lgm_5783,hv4343,tooley_1974_1978_(as_in_shennan_et_al._2018),3,lancashire,53.74,-3.01,-14.94,0.21,0.21,9376,168,283,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5785,q280,smith_et_al_2010_(as_in_shennan_et_al._2018),3,forth_valley,56.07,-3.78,4.47,0.53,0.53,9388,374,383,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5786,birm190,jardine_1982_(as_in_shennan_et_al._2018),3,ayr,55.32,-4.83,3.54,0.24,0.24,9389,314,379,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5788,srr1147,smith_et_al_1985a_b_(as_in_shennan_et_al._2018),3,tay_valley,56.35,-3.32,-0.1,0.21,0.21,9401,85,118,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
gsl_lgm_5789,beta96324,smith_et_al_2002_trse_(as_in_shennan_et_al._2018),3,n_solway_firth,54.93,-4.4,-2.72,0.21,0.21,9409,129,267,sedimentary_indicator,high_marsh_environment,,0,holsea,shennan18,
